Product Name,Vintage,Price,Bottle Size,Product Link,Product ID,Bottle Quantity
INGLENOOK CABERNET SAUVIGNON 750ML,nv,79.99,750ml,https://shop.oceanwineandspirits.com/product/896136001000,8.96136E+11,
J DUMONT SANCERRE 2022 750ML,2022,27.99,750ml,https://shop.oceanwineandspirits.com/product/084692623204,84692623204,
LOUIS JADOT GEVREY CHAMBERTIN 750ML,nv,94.99,750ml,https://shop.oceanwineandspirits.com/product/084692412440,84692412440,
K VINTNERS POWERLINE SYRAH,nv,29.97,750ml,https://shop.oceanwineandspirits.com/product/184745006104,1.84745E+11,
KIRINZAN SAKE 720ML,nv,19.99,750ml,https://shop.oceanwineandspirits.com/product/844650025040,8.4465E+11,
LA SPINETTA NEBBIOLO LANGHE 750ML,nv,37.99,750ml,https://shop.oceanwineandspirits.com/product/8022252111510,8.02225E+12,
LA VILLAUDIERE SANCERRE,nv,29.99,750ml,https://shop.oceanwineandspirits.com/product/807169001189,8.07169E+11,
LAGAR DE CERVERA ALBARINO  750ML,nv,23.99,750ml,https://shop.oceanwineandspirits.com/product/890841002079,8.90841E+11,
LOUIS BERNARD COTES DU RHONE,nv,9.97,750ml,https://shop.oceanwineandspirits.com/product/604174000639,6.04174E+11,
LOUIS MARTINI CABERNET SAUVIGNON NAPA VALLEY 750ML,nv,52.99,750ml,https://shop.oceanwineandspirits.com/product/085000011645,85000011645,
B&G M De Magnol Bordeaux 750ml,nv,20.99,750ml,https://shop.oceanwineandspirits.com/product/210000000486,2.1E+11,
MAISON 9 ROSE 750ML,nv,19.99,750ml,https://shop.oceanwineandspirits.com/product/818252020901,8.18252E+11,
MALYSE ROSE COTES DE PROVENCE,nv,11.99,750ml,https://shop.oceanwineandspirits.com/product/186726000484,1.86726E+11,
MARABINO ROSSO CONTRADA SICILIAN 2018 750ML,2018,19.99,750ml,https://shop.oceanwineandspirits.com/product/607531888895,6.07532E+11,
MAS DE LEDA TEMPRANILLO CASTILLA Y LEON 750ML,nv,14.98,750ml,https://shop.oceanwineandspirits.com/product/8436031871081,8.43603E+12,
MER SOLEIL CHARD RSV MONTEREY  750ML,nv,17.99,750ml,https://shop.oceanwineandspirits.com/product/710909710107,7.1091E+11,
MICHAEL & DAVID LODI ZINFANDEL,nv,9.98,750ml,https://shop.oceanwineandspirits.com/product/652935100692,6.52935E+11,
MINUTY PRESTIGE ROSE 750ML,nv,29.99,750ml,https://shop.oceanwineandspirits.com/product/852165006614,8.52165E+11,
MONTES ALPHA CABERNET SAUVIGNON 750ML,nv,17.99,750ml,https://shop.oceanwineandspirits.com/product/715126000116,7.15126E+11,
MONTES ALPHA 2021 CARMENERE 750ML,2021,18.99,750ml,https://shop.oceanwineandspirits.com/product/715126900195,7.15127E+11,
NICKEL & NICKEL SULLENGER CABERNET SAUVIGNON 750ML,nv,103.99,750ml,https://shop.oceanwineandspirits.com/product/686014000528,6.86014E+11,
NICOLAS FEUILLATTE BLANC DE BLANC 750ML,nv,62.99,750ml,https://shop.oceanwineandspirits.com/product/088586004049,88586004049,
MICHEL NIELLON 2019 CHASSAGNE MONTRACHET 750ML,2019,74.99,750ml,https://shop.oceanwineandspirits.com/product/010168,10168,
NORTON COLLECTION 1895 MALBEC 750ML,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/717888790120,7.17889E+11,
OPUS ONE 2017 750ML,2017,379.99,750ml,https://shop.oceanwineandspirits.com/product/210000000562,2.1E+11,
PAGO DE CARRAOVEJAS RIBERA DEL DUERO 2019 750ML,2019,59.99,750ml,https://shop.oceanwineandspirits.com/product/8426411002198,8.42641E+12,
PAZO SAN MAURO ALBARINO 2021 750ML,2021,21.99,750ml,https://shop.oceanwineandspirits.com/product/8429345023086,8.42935E+12,
PELISSERO BARBARESCO NUBIOLA 2016 750ML,2016,46.98,750ml,https://shop.oceanwineandspirits.com/product/607531005186,6.07531E+11,
PELISSERO DOLCETTO D'ALBA MUNFRINA 2020 750ML,2020,21.98,750ml,https://shop.oceanwineandspirits.com/product/607531006312,6.07531E+11,
FAMILLE LE PERRIN CHATEAUNEUF DU PAPE 2021 WHITE  750ML,2021,39.99,750ml,https://shop.oceanwineandspirits.com/product/631471000383,6.31471E+11,
PLUMPJACK MERLOT 750ML,nv,89.99,750ml,https://shop.oceanwineandspirits.com/product/10087,10087,
POEMA BRUT CAVA,nv,13.99,750ml,https://shop.oceanwineandspirits.com/product/084692511204,84692511204,
POWERS CHAMPOUX VDY RESERVE CABERNET SAUVIGNON 750ML,nv,29.98,750ml,https://shop.oceanwineandspirits.com/product/093532000129,93532000129,
RAEBURN CHARDONNAY SONOMA COUNTY 750ML,nv,16.99,750ml,https://shop.oceanwineandspirits.com/product/851718000970,8.51718E+11,
RAYMOND RESERVE CABERNET SAUVIGNON NAPA 750ML,nv,48.99,750ml,https://shop.oceanwineandspirits.com/product/087447218724,87447218724,
LA RIOJA ALTA GRAN RESERVA 904 RIOJA 2015 750ML,2015,86.99,750ml,https://shop.oceanwineandspirits.com/product/890841002024,8.90841E+11,
RUINART CHAMPAGNE BRUT ROSE 750ML,nv,106.99,750ml,https://shop.oceanwineandspirits.com/product/088076167353,88076167353,
SONOMA COAST SAUVIGNON BLANC,nv,13.99,750ml,https://shop.oceanwineandspirits.com/product/10077,10077,
ST SUPERY DOLLARHIDE CABERNET SAUVIGNON 750ML,nv,99.98,750ml,https://shop.oceanwineandspirits.com/product/040951175228,40951175228,
ST SUPERY DOLLARHIDE SAUVIGNON BLANC 750ML,nv,31.98,750ml,https://shop.oceanwineandspirits.com/product/040951375222,40951375222,
ST SUPERY RUTHERFORD MERLOT 750ML,nv,69.98,750ml,https://shop.oceanwineandspirits.com/product/040951575189,40951575189,
STAGS LEAP WINERY PETITE SYRAH 750ML,nv,39.99,750ml,https://shop.oceanwineandspirits.com/product/089819045853,89819045853,
STARMONT CABERNET SAUVIGNON 375ML,nv,11.99,375ml,https://shop.oceanwineandspirits.com/product/040426991513,40426991513,
STEELE CATFISH VYD ZINFANDEL,nv,11.97,750ml,https://shop.oceanwineandspirits.com/product/763312479338,7.63312E+11,
TAKARA PLUM WINE 750ML,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/086395365009,86395365009,
TEOFILO REYES RIBERA DEL DUERO,nv,24.98,750ml,https://shop.oceanwineandspirits.com/product/855781001216,8.55781E+11,
THICK SKINNED RED MOUNTAIN RED BLEND 750ML,nv,33.99,750ml,https://shop.oceanwineandspirits.com/product/860505000406,8.60505E+11,
TRIANA PEDRO XIMENEZ 750ML,nv,24.99,750ml,https://shop.oceanwineandspirits.com/product/8411705100438,8.41171E+12,
TRUCHARD MERLOT 750ML,nv,24.98,750ml,https://shop.oceanwineandspirits.com/product/10118,10118,
TUCK BECKSTOFFER THE SUM 750ML,nv,22.99,750ml,https://shop.oceanwineandspirits.com/product/892026001129,8.92026E+11,
TURNBULL CABERNET SAUVIGNON NAPA 750ML,nv,54.99,750ml,https://shop.oceanwineandspirits.com/product/793589017506,7.93589E+11,
TYPESETTER 750ML,nv,39.99,750ml,https://shop.oceanwineandspirits.com/product/210000000766,2.1E+11,
VIEUX TELEGRAPHE CHATEAUNEUF DU PAPE RED 750ML,nv,99.98,750ml,https://shop.oceanwineandspirits.com/product/761503633217,7.61504E+11,
VINA TONDONIA RED RIOJA RES 750ML,nv,49.99,750ml,https://shop.oceanwineandspirits.com/product/815783000013,8.15783E+11,
VINA TONDONIA RES WHITE,nv,59.99,750ml,https://shop.oceanwineandspirits.com/product/815783000068,8.15783E+11,
VOLPI PINOT GRIGIO SALAME,nv,7.99,750ml,https://shop.oceanwineandspirits.com/product/765171123483,7.65171E+11,
WARRES OTIMA 10 YEAR,nv,24.99,750ml,https://shop.oceanwineandspirits.com/product/089419003161,89419003161,
WELLINGTON PALO CORTADO 500ML,nv,39.99,500ml,https://shop.oceanwineandspirits.com/product/8411705102845,8.41171E+12,
WHIPLASH REDEMPTION,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/858698002352,8.58698E+11,
YUKI OTOKO YETI SAKE,nv,27.99,750ml,https://shop.oceanwineandspirits.com/product/844650000108,8.4465E+11,
ZD CHARDONNAY,nv,37.99,750ml,https://shop.oceanwineandspirits.com/product/210000000811,2.1E+11,
ZONIN VALPOLICELLA RIPASSO,nv,19.98,750ml,https://shop.oceanwineandspirits.com/product/876153001351,8.76153E+11,
ZORZAL CABERNET FRANC,nv,0,750ml,https://shop.oceanwineandspirits.com/product/813495012119,8.13495E+11,
ZUCCARDI MALBEC 2021 750ML,2021,39.99,750ml,https://shop.oceanwineandspirits.com/product/089832849223,89832849223,
ZUCCARDI TORRONTES 2022 SERIE A 750ML,2022,15.99,750ml,https://shop.oceanwineandspirits.com/product/089832849513,89832849513,
1000 STORIES CABERNET SAUVIGNON 750ML,nv,17.99,750ml,https://shop.oceanwineandspirits.com/product/210000000825,2.1E+11,
14 HANDS CABERNET SAUVIGNON 750ML,nv,13.99,750ml,https://shop.oceanwineandspirits.com/product/088586001895,88586001895,
14 HANDS CHARDONNAY 750ML,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/088586001765,88586001765,
14 HANDS MERLOT 750ML,nv,12.99,750ml,https://shop.oceanwineandspirits.com/product/088586001772,88586001772,
14 HANDS PINOT GRIGIO 750ML,nv,10.99,750ml,https://shop.oceanwineandspirits.com/product/210000000832,2.1E+11,
19 CRIMES CABERNET SAUVIGNON 750ML,nv,9.98,750ml,https://shop.oceanwineandspirits.com/product/210000000864,2.1E+11,
19 CRIMES CALI RED 750ML,nv,12.99,750ml,https://shop.oceanwineandspirits.com/product/012354004290,12354004290,
19 CRIMES MARTHA'S CHARD 750ML,nv,13.97,750ml,https://shop.oceanwineandspirits.com/product/210000000866,2.1E+11,
19 CRIMES RED WINE 750ML,nv,11.99,750ml,https://shop.oceanwineandspirits.com/product/012354000995,12354000995,
KOSTA BROWNE P. NOIR SLH 750ML,nv,119.99,750ml,https://shop.oceanwineandspirits.com/product/KB17B,KB17B,
KOSTA BROWNE PINOT NOIR 750ML SONOMA,nv,119.99,750ml,https://shop.oceanwineandspirits.com/product/KB17A,KB17A,
KOSTA BROWNE PINOT NOIR RRV 750ML,nv,119.99,750ml,https://shop.oceanwineandspirits.com/product/KB17,KB17,
22 PIRATES RED 750ML,nv,21.99,750ml,https://shop.oceanwineandspirits.com/product/210000000871,2.1E+11,
SEVEN  DAUGHTERS MOSCATO 750ML,nv,10.99,750ml,https://shop.oceanwineandspirits.com/product/086891080031,86891080031,
7 DEADLY ZINS ZINFANDEL 750ML,nv,0,750ml,https://shop.oceanwineandspirits.com/product/210000000876,2.1E+11,
ORIN SWIFT 8 YEARS IN THE DESSERT 750ML,nv,43.99,750ml,https://shop.oceanwineandspirits.com/product/85000026700,85000026700,
9 LIVES CABERNET SAUVIGNON 750ML CHILE,nv,12.99,750ml,https://shop.oceanwineandspirits.com/product/210000000890,2.1E+11,
9 LIVES MALBEC 750ML,nv,0,750ml,https://shop.oceanwineandspirits.com/product/210000000891,2.1E+11,
A. BICHOT POUILLY FUISSE 750ML 2019,2019,29.99,750ml,https://shop.oceanwineandspirits.com/product/87113114305,87113114305,
A TO Z CHARDONNAY 750ML OREGON,nv,13.99,750ml,https://shop.oceanwineandspirits.com/product/210000000916,2.1E+11,
A TO Z PINOT GRIS 750ML,nv,14.99,750ml,https://shop.oceanwineandspirits.com/product/210000000917,2.1E+11,
A TO Z PINOT NOIR 750ML OREGON,nv,18.99,750ml,https://shop.oceanwineandspirits.com/product/210000000918,2.1E+11,
AALTO RIBERA DEL DUERO 750ML SPAIN,nv,49.99,750ml,https://shop.oceanwineandspirits.com/product/210000000920,2.1E+11,
ACHAVAL FERRER 2017 MENDOZA,2017,24.99,750ml,https://shop.oceanwineandspirits.com/product/210000000955,2.1E+11,
ACHAVAL FERRER MALBEC 750ML,nv,17.99,750ml,https://shop.oceanwineandspirits.com/product/874053000528,8.74053E+11,
ACHAVAL FERRER QUIMERA MALBEC 750ML,nv,49.99,750ml,https://shop.oceanwineandspirits.com/product/210000000957,2.1E+11,
ACROBAT PINOT NOIR 750ML OREGON,nv,18.99,750ml,https://shop.oceanwineandspirits.com/product/210000000964,2.1E+11,
ADELSHEIM BREAKING GROUND 750ML 2017,2017,59.99,750ml,https://shop.oceanwineandspirits.com/product/210000000965,2.1E+11,
ADELSHEIM PINOT NOIR 750ML WILLAMETTE VALLEY,nv,0,750ml,https://shop.oceanwineandspirits.com/product/210000000966,2.1E+11,
ADORADA PINOT GRIS 750ML,nv,19.99,750ml,https://shop.oceanwineandspirits.com/product/210000000969,2.1E+11,
ADUENTUS ANTIGAL 750ML 2015,2015,22.99,750ml,https://shop.oceanwineandspirits.com/product/210000000970,2.1E+11,
AIX ROSE 750ML,nv,19.99,750ml,https://shop.oceanwineandspirits.com/product/210000000977,2.1E+11,
ALAMOS MALBEC 750ML,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/210000000978,2.1E+11,
ALAMOS SELECCION 2014 MALBEC 750ML,2014,17.99,750ml,https://shop.oceanwineandspirits.com/product/210000000979,2.1E+11,
ALAYA TIERRA 750ML SPAIN,nv,32.99,750ml,https://shop.oceanwineandspirits.com/product/210000000980,2.1E+11,
ALFRED GRATIEN ROSE 750ML,nv,49.99,750ml,https://shop.oceanwineandspirits.com/product/210000000984,2.1E+11,
ALL OR NOTHING RED BLEND 750ML,nv,34.99,750ml,https://shop.oceanwineandspirits.com/product/210000000988,2.1E+11,
ALLAMAND VALLE DE UCO CABERNET SAUVIGNON 750ML,nv,19.99,750ml,https://shop.oceanwineandspirits.com/product/210000000989,2.1E+11,
ALLEGRINI AMARONE 750ML  ITALY,nv,79.99,750ml,https://shop.oceanwineandspirits.com/product/210000000991,2.1E+11,
ALLEGRINI VALPOLICELA 750ML ITALY,nv,15.97,750ml,https://shop.oceanwineandspirits.com/product/210000000992,2.1E+11,
ALTA VISTA VINEYARD MALBEC 750ML,nv,26.99,750ml,https://shop.oceanwineandspirits.com/product/210000000993,2.1E+11,
ALTAMURA CABERNET SAUVIGNON 750ML,nv,135.99,750ml,https://shop.oceanwineandspirits.com/product/9801,9801,
ALTESINO ROSSO DI MONTALCINO 750ML,nv,24.97,750ml,https://shop.oceanwineandspirits.com/product/210000000995,2.1E+11,
ALTOS DEL PLATA CHARDONNAY 750ML,nv,12.99,750ml,https://shop.oceanwineandspirits.com/product/210000000998,2.1E+11,
ALTOS LAS HORMIGAS MALBEC 750ML,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/210000000999,2.1E+11,
ALVARO PALACIOS PRIORAT 750ML SPAIN,nv,26.99,750ml,https://shop.oceanwineandspirits.com/product/210000001001,2.1E+11,
ALVERDI PINOT GRIGIO 750ML ITALY,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/210000001002,2.1E+11,
AMADO SUR MALBEC 750ML,nv,14.99,750ml,https://shop.oceanwineandspirits.com/product/210000001003,2.1E+11,
AMALAYA MALBEC 750ML,nv,11.99,750ml,https://shop.oceanwineandspirits.com/product/210000001004,2.1E+11,
AMARONE-ROCCOLO GRASSI 750ML ITALY,nv,86.99,750ml,https://shop.oceanwineandspirits.com/product/210000001007,2.1E+11,
AMIRAL DE BEYCHEVELLE 2008 750ML FRANCE-SAINT JULIEN,2008,44.99,750ml,https://shop.oceanwineandspirits.com/product/SKU000032,SKU000032,
AMURADO CABERNET SAUVIGNON 750ML,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/210000001021,2.1E+11,
AMURADO CABERNET SAUVIGNON RSV 750ML,nv,13.99,750ml,https://shop.oceanwineandspirits.com/product/210000001022,2.1E+11,
AMURADO CHARDONNAY RESERVA 750ML,nv,7.99,750ml,https://shop.oceanwineandspirits.com/product/210000001023,2.1E+11,
AMURADO CHARDONNAY RESERVA 750ML I,nv,7.99,750ml,https://shop.oceanwineandspirits.com/product/210000001024,2.1E+11,
AMURADO GRAN CORTE RESERVA 750ML,nv,19.99,750ml,https://shop.oceanwineandspirits.com/product/210000001025,2.1E+11,
AMURADO MALBEC 750ML,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/210000001026,2.1E+11,
AMURADO MALBEC RESERVA 750ML,nv,0,750ml,https://shop.oceanwineandspirits.com/product/210000001027,2.1E+11,
ANGELINE PINOT NOIR 750ML,nv,14.99,750ml,https://shop.oceanwineandspirits.com/product/210000001031,2.1E+11,
ANGELO SASSETTI BRUNELLO DI 750ML MONTALCINO(]ITALY,nv,59.99,750ml,https://shop.oceanwineandspirits.com/product/210000001032,2.1E+11,
ANNA CODORNIU BLANC DE BLANC CAVA 750ML,nv,11.99,750ml,https://shop.oceanwineandspirits.com/product/210000001044,2.1E+11,
ANNA CODORNIU BRUT ROSE CAVA 750ML,nv,11.99,750ml,https://shop.oceanwineandspirits.com/product/210000001045,2.1E+11,
ANTIGAL ANTIGAL 1.5L,nv,39.99,1.5L,https://shop.oceanwineandspirits.com/product/210000001047,2.1E+11,
ANTIGAL UNO MALBEC 750ML,nv,14.98,750ml,https://shop.oceanwineandspirits.com/product/210000001048,2.1E+11,
ANTINORI VERMENTINO 750ML ITALY,nv,22.99,750ml,https://shop.oceanwineandspirits.com/product/88586002632,88586002632,
ANTINORI VILLA TOSCANA BIANCO ITALY 750ML,nv,14.99,750ml,https://shop.oceanwineandspirits.com/product/88586002793,88586002793,
ANTINORI VILLA TOSCANA ITALY ROSSO 750ML,nv,21.99,750ml,https://shop.oceanwineandspirits.com/product/0810147310029,8.10147E+11,
APEROL APERITIVO 750ML,nv,27.99,750ml,https://shop.oceanwineandspirits.com/product/210000001054,2.1E+11,
APOTHIC CABERNET SAUVIGNON 750ML,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/85000030967,85000030967,
APOTHIC CRUSH 750ML,nv,10.99,750ml,https://shop.oceanwineandspirits.com/product/210000001056,2.1E+11,
APOTHIC DARK 750ML,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/85000022863,85000022863,
APOTHIC INFERNO 750ML,nv,15.99,750ml,https://shop.oceanwineandspirits.com/product/210000001058,2.1E+11,
APOTHIC RED 750ML,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/85000017746,85000017746,
APOTHIC RED 2 PACK 250ML,nv,10.99,750ml,https://shop.oceanwineandspirits.com/product/210000001060,2.1E+11,
APOTHIC RED 375ML,nv,3.99,375ml,https://shop.oceanwineandspirits.com/product/210000001061,2.1E+11,
APOTHIC WHITE 750ML,nv,9.99,750ml,https://shop.oceanwineandspirits.com/product/210000001062,2.1E+11,
ARGIANO BRUNELLO DI MONTALCINO 750ML TUSCANY ITALY,nv,73.99,750ml,https://shop.oceanwineandspirits.com/product/210000001079,2.1E+11,
ARGIANO ROSSO 2021 DI MONTALCINO 750ML ITALY,2021,34.99,750ml,https://shop.oceanwineandspirits.com/product/210000001080,2.1E+11,
ARGIANO ROSSO TOSCANO 750ML ITALY,nv,17.99,750ml,https://shop.oceanwineandspirits.com/product/210000001081,2.1E+11,
ARMAND DE BRIGNAC BRUT 750ML CS,nv,289.99,750ml,https://shop.oceanwineandspirits.com/product/BRIGNAC,BRIGNAC,
ARMAND DE BRIGNAC BRUT ROSE 750ML CS,nv,489.99,750ml,https://shop.oceanwineandspirits.com/product/BRIGNACROSE,BRIGNACROSE,
ARTEZIN ZINFANDEL 750ML,nv,0,750ml,https://shop.oceanwineandspirits.com/product/210000001085,2.1E+11,
ATLAS PEAK CABERNET SAUVIGNON 750ML,nv,26.99,750ml,https://shop.oceanwineandspirits.com/product/210000001090,2.1E+11,
ATTECA ARMAS GARNACHA 750ML SPAIN-CALATAYUD,nv,39.99,750ml,https://shop.oceanwineandspirits.com/product/210000001091,2.1E+11,
